Membership No  Date Joined  Active  
    79474      2017-7-1     no    
    68354      2015-3-18    no    
    45351      2015-11-10   no    
    76838      2017-3-21    no    
    80009      2020-8-6     no    
    18517      2017-2-5     no    
    90803      2019-12-8    no    
    20633      2015-7-14    no    
    54592      2018-3-1     no    
    10329      2017-1-18    no    
    69084      2015-6-21    no    
    91327      2016-3-6     no    
    68508      2017-5-3     no    
    56713      2017-7-2     no    
    33950      2016-11-16   no    
