Membership No  Date Joined  Active  
    23984      2020-11-23   no    
    37742      2016-8-24    no    
    25172      2015-10-9    no    
    86610      2018-12-25   no    
    11529      2020-3-19    no    
    54767      2018-10-1    no    
    79006      2017-3-10    no    
    78419      2017-7-7     no    
    48371      2020-5-20    no    
    18664      2017-8-6     no    
    25974      2020-11-8    no    
    55625      2015-2-2     no    
    23201      2015-12-25   no    
    62288      2020-2-9     no    
    17233      2019-3-16    no    
    82513      2018-9-20    no    
    39101      2018-5-4     no    
